Roll No,Name,Math,Science,English,History,Attendance,Participation,Projects,Discipline,Creativity,total,PERCENTAGE,PASS OR FAIL
1,Student_1,89,91,41,48,45,82,84,81,52,269,67.25,Pass
2,Student_2,42,44,66,64,73,44,54,86,71,216,54,Fail
3,Student_3,73,80,65,82,59,69,99,97,82,300,75,Pass
4,Student_4,81,88,52,46,71,87,44,49,61,267,66.75,Pass
5,Student_5,44,57,58,82,81,71,84,92,66,241,60.25,Pass
6,Student_6,64,95,53,43,80,61,45,88,85,255,63.75,Pass
7,Student_7,92,95,100,75,54,73,44,53,59,362,90.5,Pass
8,Student_8,56,59,56,58,41,97,54,78,78,229,57.25,Fail
9,Student_9,83,95,50,54,84,78,43,41,54,282,70.5,Pass
10,Student_10,56,58,86,47,81,67,67,51,62,247,61.75,Pass
11,Student_11,62,42,96,93,86,47,49,65,85,293,73.25,Pass
12,Student_12,65,98,69,68,49,51,42,40,40,300,75,Pass
13,Student_13,62,78,98,48,93,83,45,81,92,286,71.5,Pass
14,Student_14,79,48,90,51,90,85,43,97,71,268,67,Pass
15,Student_15,76,57,50,42,45,54,95,49,50,225,56.25,Fail
16,Student_16,56,64,52,49,99,71,72,100,68,221,55.25,Fail
17,Student_17,49,43,66,62,99,93,75,77,87,220,55,Fail
18,Student_18,89,49,59,52,83,69,95,81,88,249,62.25,Pass
19,Student_19,80,54,44,61,66,53,53,88,82,239,59.75,Fail
20,Student_20,95,94,63,49,83,97,99,72,64,301,75.25,Pass
21,Student_21,51,60,79,100,90,69,51,81,66,290,72.5,Pass
22,Student_22,88,91,85,65,83,93,85,83,73,329,82.25,Pass
23,Student_23,74,89,44,59,69,89,85,70,88,266,66.5,Pass
24,Student_24,78,48,47,85,48,99,76,56,62,258,64.5,Pass
25,Student_25,42,99,79,63,54,87,78,46,53,283,70.75,Pass
26,Student_26,72,41,62,80,68,65,45,91,98,255,63.75,Pass
27,Student_27,86,96,41,84,75,92,75,70,61,307,76.75,Pass
