Roll No,Name,Math,Science,English,History,Attendance,Participation,Projects,Discipline,Creativity
1,Student_1,89,91,41,48,45,82,84,81,52
2,Student_2,42,44,66,64,73,44,54,86,71
3,Student_3,73,80,65,82,59,69,99,97,82
4,Student_4,81,88,52,46,71,87,44,49,61
5,Student_5,44,57,58,82,81,71,84,92,66
6,Student_6,64,95,53,43,80,61,45,88,85
7,Student_7,92,95,100,75,54,73,44,53,59
8,Student_8,56,59,56,58,41,97,54,78,78
9,Student_9,83,95,50,54,84,78,43,41,54
10,Student_10,56,58,86,47,81,67,67,51,62
11,Student_11,62,42,96,93,86,47,49,65,85
12,Student_12,65,98,69,68,49,51,42,40,40
13,Student_13,62,78,98,48,93,83,45,81,92
14,Student_14,79,48,90,51,90,85,43,97,71
15,Student_15,76,57,50,42,45,54,95,49,50
16,Student_16,56,64,52,49,99,71,72,100,68
17,Student_17,49,43,66,62,99,93,75,77,87
18,Student_18,89,49,59,52,83,69,95,81,88
19,Student_19,80,54,44,61,66,53,53,88,82
20,Student_20,95,94,63,49,83,97,99,72,64
21,Student_21,51,60,79,100,90,69,51,81,66
22,Student_22,88,91,85,65,83,93,85,83,73
23,Student_23,74,89,44,59,69,89,85,70,88
24,Student_24,78,48,47,85,48,99,76,56,62
25,Student_25,42,99,79,63,54,87,78,46,53
26,Student_26,72,41,62,80,68,65,45,91,98
27,Student_27,86,96,41,84,75,92,75,70,61
28,Student_28,100,92,55,96,45,91,81,60,45
29,Student_29,81,97,55,59,41,74,79,43,69
30,Student_30,51,96,67,91,88,98,69,86,92
31,Student_31,83,62,84,65,62,51,57,52,81
32,Student_32,73,43,48,90,48,89,47,86,43
33,Student_33,51,58,43,88,60,74,47,81,95
34,Student_34,64,75,77,50,52,56,63,85,66
35,Student_35,40,53,74,52,81,51,62,84,62
36,Student_36,57,58,49,76,54,96,65,74,89
37,Student_37,73,56,68,90,68,43,50,64,94
38,Student_38,75,54,75,80,56,72,42,45,60
39,Student_39,70,78,52,44,78,78,93,97,68
40,Student_40,86,52,41,60,98,74,41,96,95
41,Student_41,57,56,65,55,68,62,84,95,75
42,Student_42,50,52,46,85,56,73,95,61,59
43,Student_43,64,57,82,66,84,48,53,86,58
44,Student_44,54,75,68,52,96,69,76,82,41
45,Student_45,80,82,58,88,87,93,90,51,96
46,Student_46,78,50,63,82,68,72,79,66,95
47,Student_47,50,88,44,50,54,63,92,62,76
48,Student_48,54,54,65,44,56,77,83,40,89
49,Student_49,61,94,84,97,97,48,80,62,76
50,Student_50,49,49,82,43,68,42,49,89,58
51,Student_51,73,59,98,75,100,87,41,80,73
52,Student_52,63,62,77,82,78,68,98,100,77
53,Student_53,74,76,93,90,56,62,50,56,84
54,Student_54,88,67,85,82,85,67,88,54,43
55,Student_55,75,91,76,46,65,52,85,98,53
56,Student_56,80,61,62,51,66,47,76,47,68
57,Student_57,99,97,41,96,89,40,49,91,79
58,Student_58,57,88,96,77,78,72,47,42,57
59,Student_59,88,56,73,93,74,78,89,85,80
60,Student_60,99,65,68,77,40,68,83,57,99
61,Student_61,40,92,82,42,80,97,97,40,48
62,Student_62,42,83,65,78,88,83,57,94,74
63,Student_63,61,60,46,84,75,97,66,72,83
64,Student_64,64,66,41,87,49,67,71,90,70
65,Student_65,74,50,41,86,40,71,86,46,99
66,Student_66,77,97,98,91,57,76,59,87,76
67,Student_67,93,76,65,95,56,53,60,84,40
68,Student_68,100,59,55,62,97,86,62,78,59
69,Student_69,78,99,88,87,92,99,68,44,78
70,Student_70,64,52,62,90,64,53,90,87,56
71,Student_71,40,57,99,61,54,56,86,41,51
72,Student_72,88,50,98,71,59,63,43,57,88
73,Student_73,75,91,92,96,76,97,86,72,49
74,Student_74,40,86,83,96,57,65,41,98,53
75,Student_75,68,81,84,95,88,99,80,96,76
76,Student_76,59,48,48,66,67,69,62,42,51
77,Student_77,68,55,55,59,83,90,56,46,93
78,Student_78,73,63,90,65,92,47,77,67,47
79,Student_79,93,69,46,52,76,65,62,46,76
80,Student_80,45,40,83,71,47,91,79,67,41
81,Student_81,59,53,99,72,78,55,70,94,40
82,Student_82,57,62,92,87,95,71,96,73,58
83,Student_83,100,93,69,48,71,86,53,79,60
84,Student_84,94,52,55,85,73,74,81,68,46
85,Student_85,80,56,76,62,84,58,56,84,55
86,Student_86,95,74,47,71,79,71,76,44,79
87,Student_87,100,58,51,42,45,88,59,62,40
88,Student_88,90,75,63,96,88,41,74,55,95
89,Student_89,96,96,59,43,92,49,44,64,91
90,Student_90,75,85,98,47,74,85,99,73,91
91,Student_91,81,42,94,93,54,97,63,64,87
92,Student_92,49,46,80,87,83,87,48,88,77
93,Student_93,49,74,89,90,62,54,56,42,78
94,Student_94,50,40,88,85,79,48,67,54,57
95,Student_95,95,94,59,77,47,93,50,82,89
96,Student_96,53,45,67,97,49,45,64,94,48
97,Student_97,87,45,77,96,41,57,100,85,60
98,Student_98,61,72,76,60,61,61,81,49,89
99,Student_99,51,64,91,98,85,56,51,77,64
100,Student_100,99,60,76,51,59,80,53,79,62
