Roll No,Name,Math,Science,English,History,Attendance,Participation,Projects,Discipline,Creativity
1,Student_1,82,65,45,89,59,40,71,69,60
2,Student_2,95,70,53,48,63,87,89,94,62
3,Student_3,48,41,73,60,60,72,97,83,86
4,Student_4,44,59,97,72,65,48,98,98,68
5,Student_5,97,67,92,68,45,45,94,80,68
6,Student_6,86,84,62,56,99,48,44,48,65
7,Student_7,91,46,86,40,52,78,89,95,58
8,Student_8,68,99,92,67,69,90,56,47,92
9,Student_9,90,73,99,78,58,54,69,60,66
10,Student_10,59,59,45,96,96,49,71,49,80
11,Student_11,61,92,65,43,54,89,82,56,78
12,Student_12,41,43,49,84,90,54,76,81,68
13,Student_13,97,44,45,50,45,58,83,54,58
14,Student_14,43,90,98,60,54,99,71,93,50
15,Student_15,85,58,83,69,92,58,89,44,87
16,Student_16,82,48,52,79,60,74,50,75,45
17,Student_17,67,71,61,75,70,100,52,54,85
18,Student_18,99,99,40,45,79,98,73,41,66
19,Student_19,93,83,77,63,65,98,94,69,58
20,Student_20,53,63,56,89,78,45,62,87,73
21,Student_21,90,82,56,55,44,47,89,49,68
22,Student_22,43,61,47,68,79,64,63,91,97
23,Student_23,74,42,93,97,80,74,43,84,46
24,Student_24,50,45,91,73,55,80,48,59,43
25,Student_25,50,95,77,47,60,40,78,75,65
26,Student_26,58,81,66,95,99,91,57,59,92
27,Student_27,97,48,85,51,40,95,72,56,96
28,Student_28,100,78,75,63,94,44,99,90,76
29,Student_29,49,41,51,91,40,47,55,48,44
30,Student_30,68,87,45,42,50,93,95,97,51
31,Student_31,80,91,99,93,65,62,59,85,74
32,Student_32,94,82,53,87,86,68,57,46,68
33,Student_33,97,46,46,95,73,94,65,94,53
34,Student_34,63,44,70,61,54,100,55,55,78
35,Student_35,47,100,92,53,75,91,88,95,90
36,Student_36,79,77,66,80,58,98,46,73,66
37,Student_37,40,100,71,55,56,78,98,44,54
38,Student_38,63,82,49,71,96,81,52,50,99
39,Student_39,78,49,55,86,93,40,71,73,86
40,Student_40,45,60,65,58,72,66,96,41,74
41,Student_41,78,81,44,79,87,79,52,99,100
42,Student_42,40,76,69,64,68,74,96,99,43
43,Student_43,85,52,97,48,55,77,67,97,41
44,Student_44,86,85,96,98,59,93,88,59,57
45,Student_45,43,86,54,49,66,47,72,57,99
46,Student_46,95,49,48,88,81,62,85,67,82
47,Student_47,77,54,47,51,85,100,94,72,91
48,Student_48,48,73,97,78,62,42,89,92,95
49,Student_49,59,61,85,50,66,76,84,62,73
50,Student_50,88,76,81,68,72,74,97,52,64
51,Student_51,100,59,96,84,98,84,49,53,43
52,Student_52,68,76,90,91,80,53,69,53,81
53,Student_53,72,80,60,81,67,61,91,64,92
54,Student_54,61,54,65,99,83,56,94,40,93
55,Student_55,82,93,72,81,94,64,68,67,50
56,Student_56,87,59,75,45,58,61,88,91,63
57,Student_57,93,86,68,78,60,85,95,86,59
58,Student_58,47,41,46,75,84,71,48,71,82
59,Student_59,74,51,90,56,69,76,53,64,53
60,Student_60,55,47,92,89,91,83,85,91,90
61,Student_61,93,57,77,88,67,69,53,43,90
62,Student_62,81,52,80,77,49,86,56,66,72
63,Student_63,52,45,82,87,88,77,50,91,60
64,Student_64,98,49,77,80,52,76,66,63,65
65,Student_65,69,96,59,98,77,63,96,71,79
66,Student_66,83,72,61,81,92,86,91,95,56
67,Student_67,47,98,43,74,81,81,67,74,60
68,Student_68,47,94,77,49,64,95,98,67,48
69,Student_69,60,77,79,83,64,51,88,90,82
70,Student_70,69,59,60,83,69,72,57,90,82
71,Student_71,96,83,87,44,42,45,49,59,94
72,Student_72,80,86,93,40,44,56,78,76,98
73,Student_73,62,99,40,98,51,93,68,84,55
74,Student_74,52,88,80,73,63,82,84,55,47
75,Student_75,96,69,76,66,48,75,71,71,44
76,Student_76,90,92,41,69,52,98,78,88,95
77,Student_77,95,84,72,89,91,95,51,48,48
78,Student_78,89,61,77,62,48,92,71,72,74
79,Student_79,48,49,78,67,71,50,51,75,41
80,Student_80,80,54,72,80,62,98,43,94,62
81,Student_81,62,55,68,81,89,88,57,58,91
82,Student_82,91,49,54,85,90,77,75,40,95
83,Student_83,93,63,75,89,53,54,74,80,80
84,Student_84,56,77,82,77,73,56,94,55,91
85,Student_85,79,79,68,85,55,41,82,71,92
86,Student_86,86,62,48,96,49,93,63,86,43
87,Student_87,98,52,44,91,44,66,79,82,83
88,Student_88,49,96,46,82,98,40,98,42,66
89,Student_89,79,71,64,88,44,79,48,57,85
90,Student_90,50,43,71,58,94,74,62,90,80
91,Student_91,98,68,81,80,88,78,94,77,76
92,Student_92,48,90,83,78,89,88,71,54,100
93,Student_93,81,63,41,63,57,68,93,89,56
94,Student_94,88,68,77,51,61,53,78,55,46
95,Student_95,57,98,95,54,47,49,51,55,57
96,Student_96,51,82,78,86,81,83,80,84,90
97,Student_97,86,52,74,67,72,57,46,91,72
98,Student_98,73,84,80,57,49,97,89,59,94
99,Student_99,78,48,58,41,79,50,60,89,48
100,Student_100,55,41,40,87,81,61,72,59,40
